   ,STRING,condition,,"One of the following: "Normal" indicates the condition of the battery is within normal tolerances, "Service Needed" indicates that the battery should be checked out by a licensed Mac repair service, "Permanent Failure" indicates the battery needs replacement"
   ,STRING,state,,"One of the following: "AC Power" indicates the battery is connected to an external power source, "Battery Power" indicates that the battery is drawing internal power, "Off Line" indicates the battery is off-line or no longer connected"
   ,INT,charging,,"1 if the battery is currently being charged by a power source. 0 otherwise"
   ,INT,charged,,"1 if the battery is currently completely charged. 0 otherwise"
   ,INT,designed_capacity,,"The battery's designed capacity in mAh"
   ,INT,max_capacity,,"The battery's actual capacity when it is fully charged in mAh"
   ,INT,current_capacity,,"The battery's current charged capacity in mAh"
   ,INT,percent_remaining,,"The percentage of battery remaining before it is drained"
   ,INT,amperage,,"The battery's current amperage in mA"
   ,INT,voltage,,"The battery's current voltage in mV"
   ,INT,minutes_until_empty,,"The number of minutes until the battery is fully depleted. This value is -1 if this time is still being calculated"
   ,INT,minutes_to_full_charge,,"The number of minutes until the battery is fully charged. This value is -1 if this time is still being calculated"
TATTR,
------------------------------
TABLE,bitlocker_info
DESC,Retrieve bitlocker status of the machine.
   ,STRING,device_id,,"ID of the encrypted drive."
   ,STRING,drive_letter,,"Drive letter of the encrypted drive."
   ,STRING,persistent_volume_id,,"Persistent ID of the drive."
   ,INT,conversion_status,,"The bitlocker conversion status of the drive."
   ,INT,protection_status,,"The bitlocker protection status of the drive."
   ,STRING,encryption_method,,"The encryption type of the device."
TATTR,
------------------------------
TABLE,block_devices
DESC,Block (buffered access) device file nodes: disks, ramdisks, and DMG containers.
   ,STRING,name,,"Block device name"
   ,STRING,parent,,"Block device parent name"
   ,STRING,vendor,,"Block device vendor string"
   ,STRING,model,,"Block device model string identifier"
   ,INT64,size,,"Block device size in blocks"
   ,INT,block_size,,"Block size in bytes"
   ,STRING,uuid,,"Block device Universally Unique Identifier"
   ,STRING,type,,"Block device type string"
   ,STRING,label,,"Block device label string"
TATTR,
------------------------------
TABLE,browser_plugins
DESC,All C/NPAPI browser plugin details for all users.
   ,INT64,uid,ADDITIONAL,"The local user that owns the plugin"
   ,STRING,name,,"Plugin display name"
   ,STRING,identifier,INDEX,"Plugin identifier"
   ,STRING,version,,"Plugin short version"
   ,STRING,sdk,,"Build SDK used to compile plugin"
   ,STRING,description,,"Plugin description text"
   ,STRING,development_region,,"Plugin language-localization"
   ,INT,native,,"Plugin requires native execution"
   ,STRING,path,,"Path to plugin bundle"
   ,INT,disabled,,"Is the plugin disabled. 1 = Disabled"
TATTR,USER_BASED,
------------------------------
TABLE,carbon_black_info
DESC,Returns info about a Carbon Black sensor install.
TALIAS,cb_info
   ,INT,sensor_id,,"Sensor ID of the Carbon Black sensor"
   ,STRING,config_name,,"Sensor group"
   ,INT,collect_store_files,,"If the sensor is configured to send back binaries to the Carbon Black server"
   ,INT,collect_module_loads,,"If the sensor is configured to capture module loads"
   ,INT,collect_module_info,,"If the sensor is configured to collect metadata of binaries"
   ,INT,collect_file_mods,,"If the sensor is configured to collect file modification events"
   ,INT,collect_reg_mods,,"If the sensor is configured to collect registry modification events"
   ,INT,collect_net_conns,,"If the sensor is configured to collect network connections"
   ,INT,collect_processes,,"If the sensor is configured to process events"
   ,INT,collect_cross_processes,,"If the sensor is configured to cross process events"
   ,INT,collect_emet_events,,"If the sensor is configured to EMET events"
   ,INT,collect_data_file_writes,,"If the sensor is configured to collect non binary file writes"
   ,INT,collect_process_user_context,,"If the sensor is configured to collect the user running a process"
   ,INT,collect_sensor_operations,,"Unknown"
   ,INT,log_file_disk_quota_mb,,"Event file disk quota in MB"
   ,INT,log_file_disk_quota_percentage,,"Event file disk quota in a percentage"
   ,INT,protection_disabled,,"If the sensor is configured to report tamper events"
   ,STRING,sensor_ip_addr,,"IP address of the sensor"
   ,STRING,sensor_backend_server,,"Carbon Black server"
   ,INT,event_queue,,"Size in bytes of Carbon Black event files on disk"
   ,INT,binary_queue,,"Size in bytes of binaries waiting to be sent to Carbon Black server"
TATTR,
------------------------------
TABLE,carves
DESC,Forensic Carves.
   ,INT64,time,,"Time at which the carve was kicked off"
   ,STRING,sha256,,"A SHA256 sum of the carved archive"
   ,INT,size,,"Size of the carved archive"
   ,STRING,path,,"The path of the requested carve"
   ,STRING,status,,"Status of the carve, can be STARTING, PENDING, SUCCESS, or FAILED"
   ,STRING,carve_guid,,"Identifying value of the carve session"
   ,INT,carve,,"Set this value to '1' to start a file carve"
TATTR,USER_BASED,
------------------------------
TABLE,certificates
DESC,Certificate Authorities installed in Keychains/ca-bundles.
   ,STRING,common_name,,"Certificate CommonName"
   ,STRING,subject,,"Certificate distinguished name"
   ,STRING,issuer,,"Certificate issuer distinguished name"
   ,INT,ca,,"1 if CA: true (certificate is an authority) else 0"
   ,INT,self_signed,,"1 if self-signed, else 0"
   ,STRING,not_valid_before,,"Lower bound of valid date"
   ,STRING,not_valid_after,,"Certificate expiration data"
   ,STRING,signing_algorithm,,"Signing algorithm used"
   ,STRING,key_algorithm,,"Key algorithm used"
   ,STRING,key_strength,,"Key size used for RSA/DSA, or curve name"
   ,STRING,key_usage,,"Certificate key usage and extended key usage"
   ,STRING,subject_key_id,,"SKID an optionally included SHA1"
   ,STRING,authority_key_id,,"AKID an optionally included SHA1"
   ,STRING,sha1,,"SHA1 hash of the raw certificate contents"
   ,STRING,path,,"Path to Keychain or PEM bundle"
   ,STRING,serial,,"Certificate serial number"
TATTR,CACHEABLE,
------------------------------
TABLE,chocolatey_packages
DESC,Chocolatey packages installed in a system.
   ,STRING,name,,"Package display name"
   ,STRING,version,,"Package-supplied version"
   ,STRING,summary,,"Package-supplied summary"
   ,STRING,author,,"Optional package author"
   ,STRING,license,,"License under which package is launched"
   ,STRING,path,,"Path at which this package resides"
TATTR,
------------------------------
TABLE,chrome_extensions
DESC,Chrome browser extensions.
   ,INT64,uid,ADDITIONAL,"The local user that owns the extension"
   ,STRING,name,,"Extension display name"
   ,STRING,identifier,INDEX,"Extension identifier"
   ,STRING,version,,"Extension-supplied version"
   ,STRING,description,,"Extension-optional description"
   ,STRING,locale,,"Default locale supported by extension"
   ,STRING,update_url,,"Extension-supplied update URI"
   ,STRING,author,,"Optional extension author"
   ,INT,persistent,,"1 If extension is persistent across all tabs else 0"
   ,STRING,path,,"Path to extension folder"
   ,STRING,permissions,,"The permissions required by the extension"
TATTR,USER_BASED,
------------------------------
TABLE,cpu_info
DESC,Retrieve cpu hardware info of the machine.
   ,STRING,device_id,,"The DeviceID of the CPU."
   ,STRING,model,,"The model of the CPU."
   ,STRING,manufacturer,,"The manufacturer of the CPU."
   ,STRING,processor_type,,"The processor type, such as Central, Math, or Video."
   ,STRING,availability,,"The availability and status of the CPU."
   ,INT,cpu_status,,"The current operating status of the CPU."
   ,STRING,number_of_cores,,"The number of cores of the CPU."
   ,INT,logical_processors,,"The number of logical processors of the CPU."
   ,STRING,address_width,,"The width of the CPU address bus."
   ,INT,current_clock_speed,,"The current frequency of the CPU."
   ,INT,max_clock_speed,,"The maximum possible frequency of the CPU."
   ,STRING,socket_designation,,"The assigned socket on the board for the given CPU."
TATTR,
------------------------------
TABLE,cpu_time
DESC,Displays information from /proc/stat file about the time the cpu cores spent in different parts of the system.
   ,INT,core,,"Name of the cpu (core)"
   ,INT64,user,,"Time spent in user mode"
   ,INT64,nice,,"Time spent in user mode with low priority (nice)"
   ,INT64,system,,"Time spent in system mode"
   ,INT64,idle,,"Time spent in the idle task"
   ,INT64,iowait,,"Time spent waiting for I/O to complete"
   ,INT64,irq,,"Time spent servicing interrupts"
   ,INT64,softirq,,"Time spent servicing softirqs"
   ,INT64,steal,,"Time spent in other operating systems when running in a virtualized environment"
   ,INT64,guest,,"Time spent running a virtual CPU for a guest OS under the control of the Linux kernel"
   ,INT64,guest_nice,,"Time spent running a niced guest "
TATTR,
------------------------------
TABLE,cpuid
DESC,Useful CPU features from the cpuid ASM call.
   ,STRING,feature,,"Present feature flags"
   ,STRING,value,,"Bit value or string"
   ,STRING,output_register,,"Register used to for feature value"
   ,INT,output_bit,,"Bit in register value for feature value"
   ,STRING,input_eax,,"Value of EAX used"
TATTR,
------------------------------
TABLE,crashes
DESC,Application, System, and Mobile App crash logs.
   ,STRING,type,,"Type of crash log"
   ,INT64,pid,INDEX,"Process (or thread) ID of the crashed process"
   ,STRING,path,INDEX,"Path to the crashed process"
   ,STRING,crash_path,,"Location of log file"
   ,STRING,identifier,,"Identifier of the crashed process"
   ,STRING,version,,"Version info of the crashed process"
   ,INT64,parent,INDEX,"Parent PID of the crashed process"
   ,STRING,responsible,,"Process responsible for the crashed process"
   ,INT,uid,ADDITIONAL,"User ID of the crashed process"
   ,STRING,datetime,,"Date/Time at which the crash occurred"
   ,INT64,crashed_thread,,"Thread ID which crashed"
   ,STRING,stack_trace,,"Most recent frame from the stack trace"
   ,STRING,exception_type,,"Exception type of the crash"
   ,STRING,exception_codes,,"Exception codes from the crash"
   ,STRING,exception_notes,,"Exception notes from the crash"
   ,STRING,registers,,"The value of the system registers"
TATTR,USER_BASED,
------------------------------
TABLE,crontab
DESC,Line parsed values from system and user cron/tab.
   ,STRING,event,,"The job @event name (rare)"
   ,STRING,minute,,"The exact minute for the job"
   ,STRING,hour,,"The hour of the day for the job"
   ,STRING,day_of_month,,"The day of the month for the job"
   ,STRING,month,,"The month of the year for the job"
   ,STRING,day_of_week,,"The day of the week for the job"
   ,STRING,command,,"Raw command string"
   ,STRING,path,,"File parsed"
TATTR,CACHEABLE,
------------------------------
TABLE,cups_destinations
DESC,Returns all configured printers.
